9926,988,10
35283,33023,9
27382,16030,8
36541,2342,10
23204,2429,2
30508,29562,1
24079,15829,8
48121,42937,6
43668,39194,6
43464,41526,9
14772,35872,10
4994,39921,2
6959,29867,10
23321,5135,8
29370,9940,10
19160,29541,5
32006,21393,10
29728,32827,9
39381,9738,10
21886,27602,9
1380,32459,4
5942,40949,5
27236,4729,8
47325,890,10
7675,12959,9
21429,36076,10
7908,30809,9
25150,4948,7
21262,45033,8
48345,33690,10
497,2955,7
29693,4340,9
23143,47409,10
8085,35006,10
25213,38332,8
46743,24429,3
28159,33319,5
47734,12391,8
14997,20065,9
24125,28529,10
32876,9493,10
12291,19867,9
7099,48209,8
38653,27701,6
15987,28743,10
5072,34883,8
36689,32368,9
16765,534,10
35542,14195,8
19516,38603,5
40643,34712,10
32670,33383,7
18632,11231,2
37770,28078,9
46394,47792,8
29368,7127,0
21393,28157,7
9693,8355,1
20328,34708,8
12673,18802,9
12278,29270,10
33373,15875,8
40353,18659,6
44947,32338,10
29862,18545,1
29607,19333,10
18346,37196,8
8968,49872,9
41039,30169,10
46666,30811,5
16469,42081,6
15341,2719,9
8629,48412,7
31785,4581,3
26261,21769,0
26979,27499,5
22134,4892,7
49846,24784,10
3445,42474,8
28212,3153,10
40420,3849,2
46359,10236,10
45190,3724,4
41119,5795,8
44387,2074,10
45647,19168,9
40808,18804,10
30073,42889,6
6842,26507,9
11204,3105,9
46906,40580,9
14126,34514,1
5579,42413,9
6919,35980,9
9239,3199,8
584,44800,3
2405,19614,6
18435,26397,10
39588,49331,9
26062,24378,9
31825,5606,8
33048,18007,4
9437,9329,9
24382,40633,7
29343,27207,6
45678,28101,8
17844,33065,6
22847,40599,6
47849,24444,7
8653,37765,3
20082,229,4
15014,45865,10
3815,22445,3
20353,1863,9
25477,38903,8
18343,34551,6
48470,22487,4
40350,19731,6
35074,20621,8
31472,16626,8
38283,8810,5
39469,49375,8
23687,5277,9
19578,6596,9
43884,5829,9
716,3163,10
26654,44359,7
33581,99,10
24313,18568,10
24860,10283,9
35423,39414,4
48514,8241,7
39282,39102,3
6155,23093,9
34039,46905,5
41577,35183,10
15859,20178,8
31616,681,8
7241,45767,10
23343,18304,7
6834,4996,4
34704,47036,9
